Tweet_id,match_word,match_word_count,word_polarity
390,positive,1,positive
393,rusty,1,negative
395,supports,1,positive
398,break,1,negative
398,unable,1,negative
401,sustainability,1,positive
403,well,1,positive
404,benefit,1,positive
404,emergency,1,negative
405,available,1,positive
406,crap,1,negative
408,recommendation,1,positive
409,emergency,1,negative
410,top,1,positive
411,fair,1,positive
413,timely,1,positive
414,vice,1,negative
416,sensible,1,positive
417,right,1,positive
418,wrong,1,negative
419,won,1,positive
420,good,1,positive
421,trump,1,positive
425,strong,1,positive
425,supporter,1,positive
426,supporting,1,positive
430,great,1,positive
430,sustainability,1,positive
432,like,1,positive
434,awards,1,positive
434,pride,1,positive
436,kindly,1,positive
436,damaging,1,negative
437,clearly,1,positive
437,important,1,positive
438,dynamic,1,positive
438,passionate,1,positive
441,timely,1,positive
442,talent,1,positive
442,thrive,1,positive
444,available,1,positive
445,bugs,1,negative
445,emergency,1,negative
451,fail,1,negative
453,interesting,1,positive
453,led,1,positive
457,work,1,positive
457,ignore,1,negative
457,vice,1,negative
459,encourage,1,positive
459,support,1,positive
460,reward,1,positive
461,trump,1,positive
462,free,1,positive
463,issue,1,negative
464,good,1,positive
465,good,1,positive
465,luck,1,positive
466,advantages,1,positive
466,worked,1,positive
468,humor,1,positive
468,well,1,positive
468,expensive,1,negative
471,advantages,1,positive
471,worked,1,positive
473,unhappiness,1,negative
477,commitment,1,positive
477,excited,1,positive
477,proud,1,positive
480,poised,1,positive
482,gaining,1,positive
482,traction,1,positive
482,harassment,1,negative
484,modern,1,positive
485,interesting,1,positive
486,available,1,positive
487,privilege,1,positive
487,won,1,positive
491,free,1,positive
493,unhappiness,1,negative
494,commitment,1,positive
496,uncertain,1,negative
497,vice,1,negative
498,fear,1,negative
503,top,1,positive
505,great,1,positive
506,trump,1,positive
512,skilled,1,positive
512,disservice,1,negative
515,grateful,1,positive
519,glad,1,positive
521,beg,1,negative
523,work,1,positive
524,wins,1,positive
525,disgraceful,1,negative
526,clearly,1,positive
526,important,1,positive
527,break,1,negative
527,rejected,1,negative
528,hard,1,negative
529,available,1,positive
529,lighter,1,positive
531,excited,1,positive
532,kindly,1,positive
533,likes,1,positive
535,paltry,1,negative
535,unworthy,1,negative
539,proud,1,positive
539,work,1,positive
542,supports,1,positive
545,free,2,positive
545,restricted,1,negative
547,useless,1,negative
548,good,1,positive
548,luck,1,positive
551,best,1,positive
551,top,1,positive
551,cloud,1,negative
553,paltry,1,negative
553,unworthy,1,negative
555,protect,1,positive
557,helped,1,positive
558,useless,1,negative
562,wrong,1,negative
564,aggressiveness,1,negative
565,like,1,positive
566,available,1,positive
567,proper,1,positive
567,sorry,1,negative
571,fall,1,negative
573,shortage,1,negative
574,available,1,positive
575,top,1,positive
575,struggling,1,negative
576,hopeless,1,negative
577,best,1,positive
578,like,1,positive
578,unfortunate,1,negative
579,slaves,1,negative
580,flexible,1,positive
580,renowned,1,positive
580,top,1,positive
583,free,1,positive
585,stole,1,negative
587,emergency,1,negative
593,great,1,positive
593,won,1,positive
594,important,1,positive
597,unable,1,negative
598,free,1,positive
599,confidence,1,positive
599,trust,1,positive
599,collapse,1,negative
599,scary,1,negative
601,best,1,positive
602,reward,1,positive
606,proud,1,positive
607,integrated,1,positive
609,flaws,1,negative
613,best,1,positive
613,free,1,positive
614,interesting,1,positive
615,available,1,positive
618,available,1,positive
621,isolated,1,negative
623,best,1,positive
625,interesting,1,positive
629,genius,1,positive
629,master,1,positive
629,dropouts,1,negative
629,idiots,1,negative
630,available,1,positive
631,clear,1,positive
637,great,1,positive
637,right,1,positive
638,obsolete,1,negative
639,break,1,negative
639,rejected,1,negative
640,interesting,1,positive
641,best,1,positive
642,appreciate,1,positive
643,available,1,positive
644,willing,1,positive
645,available,1,positive
646,creative,1,positive
646,free,1,positive
646,cloud,1,negative
647,gain,1,positive
647,precious,1,positive
648,isolation,1,negative
649,helpful,1,positive
649,important,1,positive
649,like,1,positive
650,excited,1,positive
653,suffer,1,negative
654,apocalyptic,1,negative
654,oppression,1,negative
656,genius,1,positive
656,master,1,positive
656,dropouts,1,negative
656,idiots,1,negative
658,well,1,positive
658,joke,1,negative
659,bitch,1,negative
660,lead,1,positive
662,stuck,1,negative
664,protective,1,positive
664,top,1,positive
671,top,1,positive
673,like,1,positive
673,challenging,1,negative
677,free,1,positive
678,fears,1,negative
679,gain,1,positive
680,liberty,1,positive
683,waste,1,negative
685,support,1,positive
686,challenging,1,negative
687,enjoying,1,positive
688,support,1,positive
689,creative,1,positive
689,free,1,positive
689,cloud,1,negative
690,like,1,positive
690,works,1,positive
691,critical,1,negative
693,upheaval,1,negative
694,longing,1,negative
694,struck,1,negative
695,ashamed,1,negative
696,available,1,positive
696,happy,1,positive
697,longing,1,negative
697,struck,1,negative
698,excited,1,positive
698,sorry,1,negative
702,willing,1,positive
704,upheaval,1,negative
705,available,1,positive
706,prefer,1,positive
706,well,1,positive
707,support,1,positive
707,work,1,positive
710,support,1,positive
710,work,1,positive
713,free,1,positive
715,lengthy,1,negative
715,wrangle,1,negative
716,great,1,positive
717,stupid,2,negative
719,proud,1,positive
723,better,1,positive
723,useless,1,negative
723,worthless,1,negative
725,available,1,positive
726,available,1,positive
727,like,1,positive
727,bs,1,negative
729,available,1,positive
731,shortage,1,negative
735,available,1,positive
736,good,1,positive
736,great,1,positive
738,available,1,positive
738,lighter,1,positive
740,innovation,1,positive
747,support,1,positive
747,work,1,positive
748,idiots,1,negative
748,reject,1,negative
749,ridiculous,1,negative
750,idiots,1,negative
750,reject,1,negative
751,available,1,positive
751,cynical,1,negative
752,ridiculous,1,negative
753,free,1,positive
753,great,1,positive
754,free,1,positive
754,great,1,positive
755,available,1,positive
755,cynical,1,negative
756,affordable,1,positive
756,solid,1,positive
756,recession,1,negative
756,uncertain,1,negative
757,protection,1,positive
758,complimentary,1,positive
759,available,1,positive
763,master,1,positive
764,better,1,positive
764,sincerely,1,positive
764,sorry,1,negative
766,kindly,1,positive
768,useless,1,negative
768,worthless,1,negative
770,available,1,positive
771,innovation,1,positive
772,innovation,1,positive
775,proud,1,positive
777,work,1,positive
780,wonders,1,positive
781,shit,1,negative
782,support,1,positive
783,expensive,1,negative
788,significant,1,positive
791,despicable,1,negative
791,harboring,1,negative
792,fulfillment,1,positive
793,lead,1,positive
793,responsive,1,positive
795,abomination,1,negative
796,available,1,positive
797,fantastic,1,positive
797,fail,1,negative
797,fear,1,negative
800,shit,1,negative
801,liberty,1,positive
801,failed,1,negative
801,rampant,1,negative
808,combative,1,negative
809,available,1,positive
811,free,1,positive
811,support,2,positive
812,good,1,positive
813,break,1,negative
