Tweet,Time,Location,RT
RT  FOX59  Purdue University announces plan to hold remote commencement ceremony  ,Thu Mar 26 18 25 19  0000 2020,,0
The Canadian Homeschooler Learner Centre is a free website developed by Discover Education Canada   Access is free  ,Thu Mar 26 18 25 16  0000 2020,,8268
RT  musicbeatsform  Only essential services to be available   Schools  colleges  University  all type of education is missing from the Ess,Thu Mar 26 18 25 05  0000 2020,,539
 samrah1712  Shafqat Mahmood Koi pakistani University top 1000 University main shamil ha kya America Jao wahan ap  ,Thu Mar 26 18 25 04  0000 2020,"Houston, TX",0
Tax us 50  and Free education  Primary secondly  University  Free medical services  Good roads Make it even 60 ,Thu Mar 26 18 25 02  0000 2020,ogun state,142
RT  Ojibray   Language is key in all of our teachings  land based learning must include language component  educator says  ,Thu Mar 26 18 24 57  0000 2020,"Ontario, Canada",178
Online classes are just to cover the courses at university s end  In technical degrees where healthy questioning fo  ,Thu Mar 26 18 24 13  0000 2020,"Atlanta, Napa and Las Vegas",8268
RT  OnCampusWGBH  Boston University senior Sophie Will looks out of her window on the University s South Campus  The coronavirus pandemic h,Thu Mar 26 18 23 45  0000 2020,,0
 glennbeck These university that price gouge deserve to go out of business  They are a big business  NOT INSTITUTIO  ,Thu Mar 26 18 23 38  0000 2020,"Kalamazoo, MI",8268
Chatbots are rapidly transforming higher education  and now they can become a key driver in improving retention ra  ,Thu Mar 26 18 23 30  0000 2020,VA -home of the Hokies ,8268
 AOC The education system of the United States should be ashamed of itself  Look at the comments  people cannot d  ,Thu Mar 26 18 21 58  0000 2020,"Saskatoon, SK | Kluane, YT",5
I can t say I disagree  Through no fault of our own our education has been derailed  Many students had jobs within  ,Thu Mar 26 18 21 51  0000 2020,"Calgary, AB",3
RT  ElomGreenie  In his final year  he co founded an NGO named Edenworld Initiative which carries out climate change advocacy and awareness,Thu Mar 26 18 21 42  0000 2020,,0
RT  Tonypapa9  Hey Pumpkin negligible   mortality numbers VS Covid I can see why you miss these things  No senior education Owens was,Thu Mar 26 18 21 17  0000 2020,,8268
RT  thatgalARI   spoiled LuhBrat Nelson Mandela stated Education is the most powerful weapon which you can use to change the world  Know,Thu Mar 26 18 20 55  0000 2020,"Orange County, CA",0
The education world has been turned upside down  Online learning may reshape the classroom  ,Thu Mar 26 18 20 25  0000 2020,Nigeria,0
Faculty  staff and students are divided on a proposed partnership between Ryerson University and an international e  ,Thu Mar 26 18 20 10  0000 2020,"Ottawa, Ontario",11
Tohoku University has taken first place in the 2020 Times Higher Education Japan University Rankings  ,Thu Mar 26 18 19 49  0000 2020,"Manitoba,CA & Pennsylvania, US",0
 ArifAlvi respected president plz give summer break to University students online classes is loss of our education  ,Thu Mar 26 18 19 35  0000 2020,"Dera Ismail Khan, Pakistan",210
  le 26MARS2020   Message aux ministres de l ducation de toutes les provinces canadiennes  alors  ,Thu Mar 26 18 19 26  0000 2020,,5
RT  abdulqadeer03  Why University Students Want Semester break  students rejected online education   Please take Seriously we need Govt and,Thu Mar 26 18 19 16  0000 2020,Kinshasa,178
RT  Research Purdue  Purdues has launched its call center to provide information on what COVID 19 means for the university in Indiana  fro,Thu Mar 26 18 18 51  0000 2020,,0
 EricEngels if Slovenia can give free education  i think Canada could do the same,Thu Mar 26 18 18 47  0000 2020,Canada 🇨🇦,178
RT  jjsanchz  Humbled to sign my NLI and continue my education and baseball career at  Westcliff University  I want to thank head coach Da,Thu Mar 26 18 18 45  0000 2020,,76
RT  yessirtns  Only essential services to be available   SCHOOLS  COLLEGES  UNIVERSITY all type of EDUCATION is missing from the ESSENTIAL,Thu Mar 26 18 18 29  0000 2020,"Texas, USA",8268
University of East Anglia cancels graduations due to coronavirus outbreak  ,Thu Mar 26 18 17 50  0000 2020,"Sargodha, Pakistan",0
Hey Pumpkin negligible   mortality numbers VS Covid I can see why you miss these things  No senior education   ,Thu Mar 26 18 17 18  0000 2020,Elkeiyo Marakwet -Kerio Valley,0
 SenKamalaHarris Many parents have taken out loans for their children s university education   Are parent student l  ,Thu Mar 26 18 17 13  0000 2020,"Dehradun, India",7
15 ASU students have tested positive for COVID 19  university says  ,Thu Mar 26 18 17 10  0000 2020,United States,8268
RT  SmallBusinessBC  If you are a business that can supply products and services to support Canadas response to COVID 19  join our webinar,Thu Mar 26 18 16 42  0000 2020,"We'kapekit/Potlotek, Mi'kma'ki",6
 TarekFatah I can t get this  How the hell in universe someone can be so stupid after persuading doctorate  Either  ,Thu Mar 26 18 16 41  0000 2020,"Mardan, Pakistan",1
RT  BenRidenUMD  University of Minnesota is Hiring  Tenure Track Special Education  ,Thu Mar 26 18 16 32  0000 2020,"Jaipur, India",7
Whether you re a  union  school or    we re still here to help with all the essential  you  ,Thu Mar 26 18 16 15  0000 2020,,8268
Here is another piece from isolation  to  BiophysicalSoc for a kind invitation to put this together   Coronaviru  ,Thu Mar 26 18 16 01  0000 2020,Austin | Boston,5
This is going to make all the hysteria about online learning by the Ontario Teachers  Unions look like what it was  ,Thu Mar 26 18 15 46  0000 2020,,0
RT  newsminer  As the university resumed classes this week and education began through distance delivery  students and teachers have still,Thu Mar 26 18 15 39  0000 2020,"Illinois, USA",8268
RT  TheSarangBingsu  It is confirmed  universities will be closed until the end of this spring term in my country  I do not know how we wil,Thu Mar 26 18 15 05  0000 2020,"Edinburgh, UK",0
RT  LovelyticsData  If you are interested in learning how you can use Alteryx to enable your university to make better decisions with their,Thu Mar 26 18 14 52  0000 2020,,8268
RT  LUBOttom  The Open University also offer free courses  sans accreditation  ,Thu Mar 26 18 14 12  0000 2020,,0
RT  ItsJennyChen  In fact not until I return to further my education in an university setting that I saw Canadian non Chinese male professo,Thu Mar 26 18 14 06  0000 2020,"northern ontario, Canada",32
RT  ResistMoveTRM  Liberty University welcomes students back to campus despite coronavirus outbreak    ,Thu Mar 26 18 14 00  0000 2020,"Birmingham, AL",8268
RT  pjiminluvv  BTS WILL TEACH US KOREAN HANGUL TXT WILL TEACH US PHYSICAL EDUCATION GFRIEND WILL TEACH US MATH WAW BIGHIT UNIVERSITY IS,Thu Mar 26 18 13 58  0000 2020,,0
The Open University also offer free courses  sans accreditation  ,Thu Mar 26 18 13 56  0000 2020,,8268
 mattyglesias Unfortunately we have a control group  ,Thu Mar 26 18 13 34  0000 2020,Canada,178
If you are a business that can supply products and services to support Canadas response to COVID 19  join our webi  ,Thu Mar 26 18 13 07  0000 2020,"Lagos, Nigeria",1
 Diverse  Issues In Higher Education   DiverseIssues  recently featured a story on George Mason University s plan  ,Thu Mar 26 18 13 06  0000 2020,,8268
